id,question
89,What genre does Ed Sheeran's 'Thinking Out Loud' belong to?
89,What is the tempo in beats per minute for the song 'Thinking Out Loud'?
89,What type of cadence does the song 'Thinking Out Loud' have?
90,What is the key signature of 'All of Me' by John Legend?
90,Can you tell me the tempo of the song 'All of Me'?
90,What is the chord progression used in 'All of Me'?
90,In which time signature is 'All of Me' composed?
90,Why is 'All of Me' popular as a wedding song?
91,What is the key of the song 'Stay With Me' by Sam Smith?
91,Can you provide the chord progression for 'Stay With Me'?
91,What is the tempo in BPM for 'Stay With Me'?
91,What kind of cadence is used in 'Stay With Me'?
91,How does 'Stay With Me' reflect emotional vulnerability in its themes?
92,What is the genre of 'Uptown Funk' by Mark Ronson featuring Bruno Mars?
92,In what key is 'Uptown Funk' composed?
92,What is the tempo in beats per minute (BPM) for the song 'Uptown Funk'?
92,Can you provide the chord progression used in 'Uptown Funk'?
92,What kind of cadence does 'Uptown Funk' feature?
93,What is the genre of the song 'Can't Stop the Feeling'?
93,In which key is 'Can't Stop the Feeling' composed?
93,What is the chord progression used in 'Can't Stop the Feeling'?
93,How fast is the tempo of the song in beats per minute?
93,What type of cadence does 'Can't Stop the Feeling' feature?
94,What is the genre of the song 'Shallow'?
94,Which key is 'Shallow' composed in?
94,Can you provide the chord progression for 'Shallow'?
94,What tempo is the song 'Shallow' set at in BPM?
94,What type of cadence does 'Shallow' feature?
95,What is the key of 'Bad Romance' by Lady Gaga?
95,Can you tell me the chord progression used in 'Bad Romance'?
95,What is the tempo of 'Bad Romance' expressed in BPM?
95,In which genre is 'Bad Romance' categorized?
95,What type of cadence is found in 'Bad Romance'?
96,What is the key of 'Mr. Tambourine Man' by Bob Dylan?
96,What is the chord progression used in 'Mr. Tambourine Man'?
96,What time signature does 'Mr. Tambourine Man' have?
96,Can you tell me the tempo in BPM for 'Mr. Tambourine Man'?
96,What type of cadences are used in 'Mr. Tambourine Man'?
97,What is the key of the song 'Back in Black'?
97,Can you tell me the chord progression used in 'Back in Black'?
97,What tempo is 'Back in Black' played at in BPM?
97,What is the time signature of the song 'Back in Black'?
97,Which cadence is featured in 'Back in Black'?
98,What is the key of Nocturne in E-flat Major Op.9 No.2?
98,Who is the composer of this piece?
98,What is the tempo of the piece expressed in BPM?
98,Can you provide the chord progression used in this Nocturne?
98,What type of cadence is found at the end of the composition?
99,What is the musical genre of 'Swing Low Sweet Chariot'?
99,In which key is 'Swing Low Sweet Chariot' composed?
99,What is the chord progression used in this song?
99,How does the cadence function in 'Swing Low Sweet Chariot'?
99,What musical form is employed in 'Swing Low Sweet Chariot'?
